initiated_,call_numbe,id,sales,call_end,call_start,training_d,trained_by,picture_ur,picture,session,connect_ur,email,phone,country,zip,state,city,team,institutio,role,status,last_name,first_name,name,longitude,latitude
9,4,11,"$800,000 ",,8/30/2016 14:58,3/20/2016,S. Wilson,../img/11_dg.jpg,,C,not set yet,info@eng.us,310.922.6081,United States,80301,Colorado,Boulder,Sales,Acme Medical,Sales Rep,In a session,Goldberg,Daniel,Daniel Goldberg,-105.27055,40.01499
6,3,17,,,8/30/2016 14:45,,,../img/17_dt.jpg,,F,not set yet,dtellamd@gmail.com,404.228.8172,United States,44118,Ohio,Shaker Heights,Prospect,CWRU,Surgeon,In a session,Tella,Donna,Dr. Donna Tella,-81.53707,41.47394
0,0,1,,,,1/20/2016,F. Simpson,../img/1_tk.jpg,,,not set yet,tkim@acmemedical.com,502.253.1238,United States,2109,Massachusetts,Boston,Sales,Acme Medical,Sales Rep,In a session,Kim,Tracy,Tracy Kim,-71.05977,42.35843
13,5,13,"$1,500,000 ",,8/30/2016 14:55,1/20/2016,F. Simpson,../img/13_ce.jpg,,D,not set yet,cevans@acmemedical.com,602-213-9820,United States,28201,North Carolina,Charlotte,Sales,Acme Medical,Sales Rep,In a session,Evans,Cherice,Cherice Evans,-80.84313,35.22709
7,1,3,"$250,000 ",,8/30/2016 14:30,1/20/2016,F. Simpson,../img/3_pr.jpg,,B,not set yet,pro@harvard.edu,617.245.3495,United States,2139,Massachusetts,Cambridge,Proctor,Mt. Auburn Hospital,Surgeon,In a session,Rosenblum,Peter,Dr. Peter Rosenblum MD,-71.10561,42.3751
9,4,14,,,8/30/2016 2:58,1/20/2016,F. Simpson,../img/14_pl.jpg,,C,not set yet,plong@acmemedical.com,123-483-7290,United States,98101,Washington,Seattle,Marketing,Acme Medical,Marketing Manager,In a session,Long,Phil,Phil Long,-122.33207,47.60621
0,0,18,,,,,,../img/18_mt.jpg,,,not set yet,drtan@tanclinic.com,916.420.8092,United States,12/6/1957 0:00,California,Sacramento,Prospect,Tan Clinic,Surgeon,Available,Tan,Marta,Dr. Marta Tan,-121.4944,38.58157
0,0,8,,,,8/20/2015,F. Simpson,../img/8_jg.jpg,,E,not set yet,jg@yahoo.com,312.476.4221,United States,60010,Illinois,Chicago,Proctor,Northwestern,Surgeon,Available,Gooden,Julie,Dr. Julie Gooden,-87.65005,41.85003
7,1,4,,,8/30/2016 14:30,2/20/2014,S. Wilson,../img/4_pk.jpg,,B,not set yet,paul@ccf.org,206.354.2397,United States,44101,Ohio,Cleveland,Prospect,The Cleveland Clinic,Surgeon,In a session,Kracowits,Paul,Dr. Paul Kracowits,-81.69541,41.4995
6,3,6,,,8/30/2016 14:45,3/20/2015,B. Daltrey,../img/6_kf.jpg,,F,not set yet,kflyer@acmemedical.com,202.345.1212,United States,20001,D.C.,Washington,Education,Acme Medical,Prof Ed Manager,In a session,Flyer,Kevin,Kevin Flyer,-77.009003,38.889931
9,4,9,,,8/30/2016 14:58,,,../img/9_bs.jpg,,C,not set yet,bstone@acmemedical.com,826.241.2410,United States,66101,Kansas,Kansas City,Marketing,Acme Medical,VP of Marketing,In a session,Stone,Bill,Bill Stone,-94.57857,39.09973
15,2,5,,,8/30/2016 14:40,1/20/2016,F. Simpson,../img/5_mw.jpg,,A,not set yet,mweber@acmemedical.com,512.589.3298,United States,78705,Texas,Austin,Marketing,Acme Medical,Marketing Manager,In a session,Weber,Michelle,Michelle Weber,-97.74306,30.26715
15,2,15,,,8/30/2016 14:40,,,../img/15_rp.jpg,,A,not set yet,ceo@acmemedical.com,123-938-7265,United States,94085,California,Sunnyvale,Excutive,Acme Medical,CEO,In a session,Paradiso,Roberta,Roberta Paradiso,-122.03635,37.36883
0,0,2,"$100,000 ",,,2/20/2014,S. Wilson,../img/2_mj.jpg,,,not set yet,mjohnson@acmemedical.com,408.222.3948,United States,97201,Oregon,Portland,Sales,Acme Medical,Sales Rep,Online but unavailable,Johnson,Mark,Mark Johnson,-122.67621,45.52345
7,1,7,"$500,000 ",,8/30/2016 14:30,3/20/2015,B. Daltrey,../img/7_lw.jpg,,B,not set yet,lisa.wyann.incorporated@gmail.com,508.254.6875,United States,12603,New York,Poughkeepsie,Sales,Distributor,Sales Rep,In a session,Wyann,Lisa,Lisa Wyann,-73.92097,41.70037
0,0,10,,,,2/20/2014,S. Wilson,../img/10_sw.jpg,,,not set yet,swilson@acmemedical.com,247.155.6394,United States,90001,California,Los Angeles,Product Development,,Engineering/FDA Compliance,Offline,Wilson,Simon,Simon Wilson,-118.24368,34.05223
13,5,12,,,8/30/2016 14:55,3/20/2016,S. Wilson,../img/12_ja.jpg,,D,not set yet,jart@acmemedical.com,502-102-1420,United States,85701,Arizona,Tucson,Marketing,Acme Medical,Marketing,In a session,Art,Joosa,Joosa Art,-110.92648,32.22174
0,0,16,,,,2/20/2014,S. Wilson,../img/16_ht.jpg,,E,not set yet,htiko@acmemedical.com,513-828-9460,United States,45201,Ohio,Cincinnati,Education,Acme Medical,Prof Ed Manager,Available,Tiko,Hamish,Hamish Tiko,-84.45666511,39.16187357
